"Unterseriennummer",0,""
"Probennummer",11," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
121.52,11.7562,2.01168,4.0843
121.74,11.7903,2.01168,4.0843
121.96,11.654,2.01168,4.0843
122.18,11.7221,2.01174,4.08424
122.38,11.7221,2.01168,4.0843
122.6,11.654,2.01168,4.0843
122.8,11.6369,2.01168,4.0843
123.02,11.5688,2.01168,4.0843
123.24,11.5517,2.01168,4.0843
123.46,11.5517,2.01168,4.0843
123.68,11.5517,2.01168,4.0843
123.88,11.6028,2.01168,4.0843
124.1,11.6028,2.01168,4.0843
124.3,11.5177,2.01168,4.0843
124.52,11.5006,2.01168,4.0843
124.74,11.5517,2.01168,4.0843
124.96,11.4836,2.01168,4.0843
125.18,11.4836,2.01168,4.0843
125.38,11.4836,2.01168,4.0843
125.6,11.4665,2.01168,4.0843
125.8,11.4665,2.01168,4.0843
126.02,11.4154,2.01168,4.0843
126.24,11.3984,2.01168,4.0843
126.46,11.3814,2.01168,4.0843
126.68,11.3643,2.01168,4.0843
126.88,11.3473,2.01168,4.0843
127.1,11.2962,2.01168,4.0843
127.3,11.3302,2.01168,4.0843
127.52,11.2791,2.01168,4.0843
127.74,11.2962,2.01168,4.0843
127.96,11.2621,2.01168,4.0843
128.18,11.2621,2.01168,4.0843
128.38,11.3473,2.01168,4.0843
128.6,11.245,2.01168,4.0843
128.8,11.2791,2.01168,4.0843
129.02,11.228,2.01168,4.0843
129.24,11.1599,2.01168,4.0843
129.46,11.1769,2.01168,4.0843
129.68,11.1939,2.01168,4.0843
129.88,11.1939,2.01168,4.0843
130.1,11.1769,2.01168,4.0843
130.3,11.1428,2.01168,4.0843
130.52,11.0917,2.01168,4.0843
130.74,11.1087,2.01168,4.0843
130.96,11.1428,2.01168,4.0843
131.18,11.1428,2.01168,4.0843
131.38,11.0917,2.01168,4.0843
131.6,11.0747,2.01168,4.0843
131.8,11.0406,2.01168,4.0843
132.02,11.0576,2.01168,4.0843
132.24,11.0576,2.01168,4.0843
132.46,11.0236,2.01168,4.0843
132.68,11.0406,2.01168,4.0843
132.88,10.9724,2.01168,4.0843
133.1,10.9895,2.01168,4.0843
133.3,11.0236,2.01168,4.0843
133.52,10.9895,2.01168,4.0843
133.74,10.9213,2.01168,4.0843
133.96,11.0065,2.01168,4.0843
134.18,10.9895,2.01168,4.0843
134.38,10.9554,2.01168,4.0843
134.6,10.9384,2.01168,4.0843
134.8,10.8873,2.01168,4.0843
135.02,10.9213,2.01168,4.0843
135.24,10.9043,2.01168,4.0843
135.46,10.9213,2.01168,4.0843
135.68,10.8702,2.01168,4.0843
135.88,10.8873,2.01168,4.0843
136.1,10.9043,2.01168,4.0843
136.3,10.8361,2.01168,4.0843
136.52,10.8021,2.01168,4.0843
136.74,10.8361,2.01168,4.0843
136.96,10.8361,2.01168,4.0843
137.18,10.8361,2.01168,4.0843
137.38,10.785,2.01168,4.0843
137.6,10.785,2.01168,4.0843
137.8,10.8021,2.01168,4.0843
138.02,10.7509,2.01168,4.0843
138.24,10.7169,2.01168,4.0843
138.46,10.8191,2.01168,4.0843
138.68,10.785,2.01168,4.0843
138.88,10.785,2.01168,4.0843
139.1,10.8191,2.01168,4.0843
139.3,10.785,2.01168,4.0843
139.52,10.7509,2.01168,4.0843
139.74,10.768,2.01168,4.0843
139.96,10.7169,2.01168,4.0843
140.18,10.7339,2.01168,4.0843
